Sentence,Target,Completion,Item,Condition
"Gestern Nachmittag bezahlte der Landschaftsgärtner, der die Sonnenbrille aufgesetzt hatte,",die Hecke,um das Grundstück.,65,D
"Früher beackerte der Landwirt, der den Traktor gestartet hatte,",das Feld,mit einem Gaul.,66,A
"Früher beackerte der Landwirt, der den Sonnenhut aufgesetzt hatte,",das Feld,mit einem Gaul.,66,B
"Früher kopierte der Landwirt, der den Traktor gestartet hatte,",das Feld,mit einem Gaul.,66,C
"Früher kopierte der Landwirt, der den Sonnenhut aufgesetzt hatte,",das Feld,mit einem Gaul.,66,D
"Heute Morgen flickte der Schuster, der den Absatz ausgetauscht hatte,",den Schuh,und polierte ihn.,67,A
"Heute Morgen flickte der Schuster, der die Sirene gehört hatte,",den Schuh,und polierte ihn.,67,B
"Heute Morgen schmeckte der Schuster, der den Absatz ausgetauscht hatte,",den Schuh,und polierte ihn.,67,C
"Heute Morgen schmeckte der Schuster, der die Sirene gehört hatte,",den Schuh,und polierte ihn.,67,D
"Schnell packte der Urlauber, als er die Klamotten gefaltet hatte,",den Koffer,für die Kreuzfahrt.,68,A
"Schnell packte der Urlauber, als er die Gardinen aufgezogen hatte,",den Koffer,für die Kreuzfahrt.,68,B
"Schnell rührte der Urlauber, als er die Klamotten gefaltet hatte,",den Koffer,für die Kreuzfahrt.,68,C
"Schnell rührte der Urlauber, als er die Gardinen aufgezogen hatte,",den Koffer,für die Kreuzfahrt.,68,D
"Sorgfältig erntet der Imker, nachdem er den Bienenstock erreicht hat,",den Honig,aus den Waben.,69,A
"Sorgfältig erntet der Imker, nachdem er das Haus verlassen hat,",den Honig,aus den Waben.,69,B
"Sorgfältig näht der Imker, nachdem er den Bienenstock erreicht hat,",den Honig,aus den Waben.,69,C
"Sorgfältig näht der Imker, nachdem er das Haus verlassen hat,",den Honig,aus den Waben.,69,D
"Vorsichtig lädt der Jäger, der die Munition verschossen hat,",das Gewehr,und zielt erneut.,70,A
"Vorsichtig lädt der Jäger, der den Campingplatz verlassen hat,",das Gewehr,und zielt erneut.,70,B
"Vorsichtig schneidet der Jäger, der die Munition verschossen hat,",das Gewehr,und zielt erneut.,70,C
"Vorsichtig schneidet der Jäger, der den Campingplatz verlassen hat,",das Gewehr,und zielt erneut.,70,D
"Vorsichtig mischte der Maurer, der die Backsteine aufeinanderlegte,",den Mörtel,für die Mauer.,71,A
"Vorsichtig mischte der Maurer, der die Nachbarn belauschte,",den Mörtel,für die Mauer.,71,B
"Vorsichtig schrieb der Maurer, der die Backsteine aufeinanderlegte,",den Mörtel,für die Mauer.,71,C
"Vorsichtig schrieb der Maurer, der die Nachbarn belauschte,",den Mörtel,für die Mauer.,71,D
"Vorgestern mahlte der Müller, der die Mühle betrieb,",das Mehl,aus dem Korn.,72,A
"Vorgestern mahlte der Müller, der das Lied pfiff,",das Mehl,aus dem Korn.,72,B
"Vorgestern verzierte der Müller, der die Mühle betrieb,",das Mehl,aus dem Korn.,72,C
"Vorgestern verzierte der Müller, der das Lied pfiff,",das Mehl,aus dem Korn.,72,D
"Vorsichtig melkte der Viehzüchter, nachdem er den Stall ausgemistet hatte,",die Kuh,und brachte ihr frisches Heu.,73,A
"Vorsichtig melkte der Viehzüchter, nachdem er das Gemüse sortiert hatte,",die Kuh,und brachte ihr frisches Heu.,73,B
"Vorsichtig kleidete der Viehzüchter, nachdem er den Stall ausgemistet hatte,",die Kuh,und brachte ihr frisches Heu.,73,C
"Vorsichtig kleidete der Viehzüchter, nachdem er das Gemüse sortiert hatte,",die Kuh,und brachte ihr frisches Heu.,73,D
"Zuerst bezog der Hotelangestellte, nachdem er den Bezug entfaltet hatte,",das Bett,und das Kissen.,74,A
"Zuerst bezog der Hotelangestellte, nachdem er den Hamburger verspeist hatte,",das Bett,und das Kissen.,74,B
"Zuerst fälschte der Hotelangestellte, nachdem er den Bezug entfaltet hatte,",das Bett,und das Kissen.,74,C
"Zuerst fälschte der Hotelangestellte, nachdem er den Hamburger verspeist hatte,",das Bett,und das Kissen.,74,D
"Augenblicklich erreicht der Sprinter, der das Rennen gewinnt,",das Ziel,und durchtrennt die Ziellinie.,75,A
"Augenblicklich erreicht der Sprinter, der den Wind genießt,",das Ziel,und durchtrennt die Ziellinie.,75,B
"Augenblicklich reinigt der Sprinter, der das Rennen gewinnt,",das Ziel,und durchtrennt die Ziellinie.,75,C
"Augenblicklich reinigt der Sprinter, der den Wind genießt,",das Ziel,und durchtrennt die Ziellinie.,75,D
"Direkt surft der Surfer, der die Badehose angezogen hat,",die Welle,bis zum Strand.,76,A
"Direkt surft der Surfer, der den Tagesausflug unternommen hat,",die Welle,bis zum Strand.,76,B
"Direkt reserviert der Surfer, der die Badehose angezogen hat,",die Welle,bis zum Strand.,76,C
"Direkt reserviert der Surfer, der den Tagesausflug unternommen hat,",die Welle,bis zum Strand.,76,D
"Gut gelaunt kontrollierte der Schaffner, der das Zugabteil betreten hatte,",die Fahrkarten,der Pendler.,77,A
"Gut gelaunt kontrollierte der Schaffner, der die Mittagspause beendet hatte,",die Fahrkarten,der Pendler.,77,B
"Gut gelaunt zitierte der Schaffner, der das Zugabteil betreten hatte,",die Fahrkarten,der Pendler.,77,C
"Gut gelaunt zitierte der Schaffner, der die Mittagspause beendet hatte,",die Fahrkarten,der Pendler.,77,D
"Am Mittag verlegte der Elektriker, nachdem er den Strom abgeschaltet hatte,",die Leitung,im Gebäude.,78,A
"Am Mittag verlegte der Elektriker, nachdem er den Anwohner informiert hatte,",die Leitung,im Gebäude.,78,B
"Am Mittag verfasste der Elektriker, nachdem er den Strom abgeschaltet hatte,",die Leitung,im Gebäude.,78,C
"Am Mittag verfasste der Elektriker, nachdem er den Anwohner informiert hatte,",die Leitung,im Gebäude.,78,D
"Langsam hisst der Matrose, nachdem er die Taue gekappt hat,",die Segel,des großen Bootes.,79,A
"Langsam hisst der Matrose, nachdem er die Handschuhe angezogen hat,",die Segel,des großen Bootes.,79,B
"Langsam verzehrt der Matrose, nachdem er die Taue gekappt hat,",die Segel,des großen Bootes.,79,C
"Langsam verzehrt der Matrose, nachdem er die Handschuhe angezogen hat,",die Segel,des großen Bootes.,79,D
"Direkt entspiegelt der Optiker, nachdem er den Sehtest durchgeführt hat,",die Gläser,und spricht mit dem Kollegen.,80,A
"Direkt entspiegelt der Optiker, nachdem er die Jahresabrechnung aufgestellt hat,",die Gläser,und spricht mit dem Kollegen.,80,B
"Direkt verschließt der Optiker, nachdem er den Sehtest durchgeführt hat,",die Gläser,und spricht mit dem Kollegen.,80,C
"Direkt verschließt der Optiker, nachdem er die Jahresabrechnung aufgestellt hat,",die Gläser,und spricht mit dem Kollegen.,80,D
"Auf der Stelle wirft der Basketballer, der den Ball gedribbelt hat,",den Korb,und holt einen Punkt.,81,A
"Auf der Stelle wirft der Basketballer, der die Sitzbank verlassen hat,",den Korb,und holt einen Punkt.,81,B
"Auf der Stelle bucht der Basketballer, der den Ball gedribbelt hat,",den Korb,und holt einen Punkt.,81,C
"Auf der Stelle bucht der Basketballer, der die Sitzbank verlassen hat,",den Korb,und holt einen Punkt.,81,D
"Ohne zu zögern knackt der Perlentaucher, der den Meeresgrund erreicht hat,",die Muschel,und holt die Perle.,82,A
"Ohne zu zögern knackt der Perlentaucher, der die Taschenlampe angemacht hat,",die Muschel,und holt die Perle.,82,B
"Ohne zu zögern verknotet der Perlentaucher, die den Meeresgrund erreicht hat,",die Muschel,und holt die Perle.,82,C
"Ohne zu zögern verknotet der Perlentaucher, der die Taschenlampe angemacht hat,",die Muschel,und holt die Perle.,82,D
"Umsichtig spannt der Schütze, der den Pfeil gespitzt hat,",den Bogen,und feuert den Pfeil ab.,83,A
"Umsichtig spannt der Schütze, der das Laub zusammengekehrt hat,",den Bogen,und feuert den Pfeil ab.,83,B
"Umsichtig tippt der Schütze, der den Pfeil gespitzt hat,",den Bogen,und feuert den Pfeil ab.,83,C
"Umsichtig tippt der Schütze, der das Laub zusammengekehrt hat,",den Bogen,und feuert den Pfeil ab.,83,D
"Schnell verlegte der Dachdecker, der das Dach abdeckte,",die Ziegel,und beendete den Arbeitstag.,84,A
"Schnell verlegte der Dachdecker, der den Ehering auszog,",die Ziegel,und beendete den Arbeitstag.,84,B
"Schnell naschte der Dachdecker, der das Dach abdeckte,",die Ziegel,und beendete den Arbeitstag.,84,C
"Schnell naschte der Dachdecker, der den Ehering auszog,",die Ziegel,und beendete den Arbeitstag.,84,D
"Zuerst stapelt der Umzugshelfer, der den Umzugswagen gefahren hat,",die Kartons,und die Kisten.,85,A
"Zuerst stapelt der Umzugshelfer, der die Firma gegründet hat,",die Kartons,und die Kisten.,85,B
"Zuerst serviert der Umzugshelfer, der den Umzugswagen gefahren hat,",die Kartons,und die Kisten.,85,C
"Zuerst serviert der Umzugshelfer, der die Firma gegründet hat,",die Kartons,und die Kisten.,85,D
"Heute früh schwänzte der Schüler, der die Klasse wiederholt hatte,",den Unterricht,und wurde erwischt.,86,A
"Heute früh schwänzte der Schüler, der das Handy verloren hatte,",den Unterricht,und wurde erwischt.,86,B
"Heute früh dekorierte der Schüler, der die Klasse wiederholt hatte,",den Unterricht,und wurde erwischt.,86,C
"Heute früh dekorierte der Schüler, der das Handy verloren hatte,",den Unterricht,und wurde erwischt.,86,D
"Am Abend kontrollierte der Türsteher, der den Geldbeutel durchsuchte,",den Ausweis,und ließ die Frau in den Club.,87,A
"Am Abend kontrollierte der Türsteher, der die Nachtluft genoss,",den Ausweis,und ließ die Frau in den Club.,87,B
"Am Abend probierte der Türsteher, der den Geldbeutel durchsuchte,",den Ausweis,und ließ die Frau in den Club.,87,C
"Am Abend probierte der Türsteher, der die Nachtluft genoss,",den Ausweis,und ließ die Frau in den Club.,87,D
"Umsichtig wechselte der Babysitter, der das Baby geweckt hatte,",die Windel,und warf sie in den Abfall.,88,A
"Umsichtig wechselte der Babysitter, der den Obstsalat zubereitet hatte,",die Windel,und warf sie in den Abfall.,88,B
"Umsichtig bastelte der Babysitter, der das Baby geweckt hatte,",die Windel,und warf sie in den Abfall.,88,C
"Umsichtig bastelte der Babysitter, der den Obstsalat zubereitet hatte,",die Windel,und warf sie in den Abfall.,88,D
"Langsam stemmte der Bodybuilder, der das Fitnessstudio betreten hatte,",die Gewichte,in die Höhe.,89,A
"Langsam stemmte der Bodybuilder, der das Licht angemacht hatte,",die Gewichte,in die Höhe.,89,B
"Langsam verdaute der Bodybuilder, der das Fitnessstudio betreten hatte,",die Gewichte,in die Höhe.,89,C
"Langsam verdaute der Bodybuilder, der das Licht angemacht hatte,",die Gewichte,in die Höhe.,89,D
"Umsichtig repariert der Klempner, der das Wasser ausgestellt hat,",das Rohr,im Badezimmer.,90,A
"Umsichtig repariert der Klempner, der den Kirchenchor geleitet hat,",das Rohr,im Badezimmer.,90,B
"Umsichtig nascht der Klempner, der das Wasser ausgestellt hat,",das Rohr,im Badezimmer.,90,C
"Umsichtig nascht der Klempner, der den Kirchenchor geleitet hat,",das Rohr,im Badezimmer.,90,D
"Schnell schreibt der Journalist, der die Recherche durchgeführt hat,",den Artikel,für die nächste Ausgabe.,91,A
"Schnell schreibt der Journalist, der das Portemonnaie gefunden hat,",den Artikel,für die nächste Ausgabe.,91,B
"Schnell lenkt der Journalist, der die Recherche durchgeführt hat,",den Artikel,für die nächste Ausgabe.,91,C
"Schnell lenkt der Journalist, der das Portemonnaie gefunden hat,",den Artikel,für die nächste Ausgabe.,91,D
"Heute Morgen flickte der Radler, der die Luftpumpe benutzt hatte,",den Reifen,an seinem Rad.,92,A
"Heute Morgen flickte der Radler, der den Schrank abgeschlossen hatte,",den Reifen,an seinem Rad.,92,B
"Heute Morgen trank der Radler, der die Luftpumpe benutzt hatte,",den Reifen,an seinem Rad.,92,C
"Heute Morgen trank der Radler, der den Schrank abgeschlossen hatte,",den Reifen,an seinem Rad.,92,D
"Umgehend entleert der Postbote, der das Postauto geparkt hat,",den Briefkasten,und fährt weiter.,93,A
"Umgehend entleert der Postbote, der den Kugelschreiber verloren hat,",den Briefkasten,und fährt weiter.,93,B
"Umgehend verdrückt der Postbote, der das Postauto geparkt hat,",den Briefkasten,und fährt weiter.,93,C
"Umgehend verdrückt der Postbote, der den Kugelschreiber verloren hat,",den Briefkasten,und fährt weiter.,93,D
"Hektisch kauft der Junkie, der den Dealer angerufen hat,",die Drogen,für die nächste Woche.,94,A
"Hektisch kauft der Junkie, der die Kapuze aufgezogen hat,",die Drogen,für die nächste Woche.,94,B
"Hektisch näht der Junkie, der den Dealer angerufen hat,",die Drogen,für die nächste Woche.,94,C
"Hektisch näht der Junkie, der die Kapuze aufgezogen hat,",die Drogen,für die nächste Woche.,94,D
"Zügig leerte der Müllmann, der den Müllwagen geparkt hatte,",die Tonne,und sprang auf den Müllwagen.,95,A
"Zügig leerte der Müllmann, der den Hausbesitzer gegrüßt hatte,",die Tonne,und sprang auf den Müllwagen.,95,B
"Zügig bastelte der Müllmann, der den Müllwagen geparkt hatte,",die Tonne,und sprang auf den Müllwagen.,95,C
"Zügig bastelte der Müllmann, der den Hausbesitzer gegrüßt hatte,",die Tonne,und sprang auf den Müllwagen.,95,D
"Hektisch knallte der Reiter, der das Pferd ritt,",die Peitsche,und gab die Sporen.,96,A
"Hektisch knallte der Reiter, der die Landschaft durchquerte,",die Peitsche,und gab die Sporen.,96,B
"Hektisch verfasste der Reiter, der das Pferd ritt,",die Peitsche,und gab die Sporen.,96,C
"Hektisch verfasste der Reiter, der die Landschaft durchquerte,",die Peitsche,und gab die Sporen.,96,D
"Nach kurzem Überlegen zückte der Gangster, der die Bank überfiel,",die Waffe,und verlangte das Geld.,97,A
"Nach kurzem Überlegen zückte der Gangster, der den Bus betrat,",die Waffe,und verlangte das Geld.,97,B
"Nach kurzem Überlegen gründete der Gangster, der die Bank überfiel,",die Waffe,und verlangte das Geld.,97,C
"Nach kurzem Überlegen gründete der Gangster, der den Bus betrat,",die Waffe,und verlangte das Geld.,97,D
"Zufrieden kaperte der Pirat, der die Flagge hisste,",das Schiff,und übernahm das Kommando.,98,A
"Zufrieden kaperte der Pirat, der die Fehde austrug,",das Schiff,und übernahm das Kommando.,98,B
"Zufrieden verrührte der Pirat, der die Flagge hisste,",das Schiff,und übernahm das Kommando.,98,C
"Zufrieden verrührte der Pirat, der die Fehde austrug,",das Schiff,und übernahm das Kommando.,98,D
"Sofort kauft der Börsenmakler, der die Börse betreten hat,",die Aktie,und berichtet seinem Auftraggeber.,99,A
"Sofort kauft der Börsenmakler, der den Whiskey eingeschenkt hat,",die Aktie,und berichtet seinem Auftraggeber.,99,B
"Sofort knabbert der Börsenmakler, der die Börse betreten hat,",die Aktie,und berichtet seinem Auftraggeber.,99,C
"Sofort knabbert der Börsenmakler, der den Whiskey eingeschenkt hat,",die Aktie,und berichtet seinem Auftraggeber.,99,D
"Gestern bohrte der Handwerker, der die Bohrmaschine hielt,",das Loch,in die Decke.,100,A
"Gestern bohrte der Handwerker, der das Kaugummi kaute,",das Loch,in die Decke.,100,B
"Gestern warf der Handwerker, der die Bohrmaschine hielt,",das Loch,in die Decke.,100,C
"Gestern warf der Handwerker, der das Kaugummi kaute,",das Loch,in die Decke.,100,D
"Am Morgen misst der Arzthelfer, der das Messgerät hält,",den Blutdruck,und den Blutzucker.,101,A
"Am Morgen misst der Arzthelfer, der den Bildschirm anstellt,",den Blutdruck,und den Blutzucker.,101,B
"Am Morgen kauft der Arzthelfer, der das Messgerät hält,",den Blutdruck,und den Blutzucker.,101,C
"Am Morgen kauft der Arzthelfer, der den Bildschirm anstellt,",den Blutdruck,und den Blutzucker.,101,D
"Konzentriert schwang der Torero, der den Stier verwundet hatte,",das Tuch,und machte sich bereit.,102,A
"Konzentriert schwang der Torero, der das Gebet aufgesagt hatte,",das Tuch,und machte sich bereit.,102,B
"Konzentriert befüllte der Torero, der den Stier verwundet hatte,",das Tuch,und machte sich bereit.,102,C
"Konzentriert befüllte der Torero, der das Gebet aufgesagt hatte,",das Tuch,und machte sich bereit.,102,D
"Angespannt zückte der Ritter, nachdem er den Kampf begonnen hatte,",das Schwert,und griff den Gegner an.,103,A
"Angespannt zückte der Ritter, nachdem er die Brücke überquert hatte,",das Schwert,und griff den Gegner an.,103,B
"Angespannt kaute der Ritter, nachdem er den Kampf begonnen hatte,",das Schwert,und griff den Gegner an.,103,C
"Angespannt kaute der Ritter, nachdem er die Brücke überquert hatte,",das Schwert,und griff den Gegner an.,103,D
"Wachsam steuert der Sanitäter, der das Blaulicht eingeschaltet hat,",den Rettungswagen,in Richtung des Krankenhauses.,104,A
"Wachsam steuert der Sanitäter, der den Notizblock weggelegt hat,",den Rettungswagen,in Richtung des Krankenhauses.,104,B
"Wachsam kopiert der Sanitäter, der das Blaulicht eingeschaltet hat,",den Rettungswagen,in Richtung des Krankenhauses.,104,C
"Wachsam kopiert der Sanitäter, der den Notizblock weggelegt hat,",den Rettungswagen,in Richtung des Krankenhauses.,104,D
"Ohne zu zögern verweigerte der Zeuge, der den Angeklagten wiedererkannte,",die Aussage,und wendete sich an seinen Anwalt.,105,A
"Ohne zu zögern verweigerte der Zeuge, der den Gehstock umklammerte,",die Aussage,und wendete sich an seinen Anwalt.,105,B
"Ohne zu zögern bestellte der Zeuge, der den Angeklagten wiedererkannte,",die Aussage,und wendete sich an seinen Anwalt.,105,C
"Ohne zu zögern bestellte der Zeuge, der den Gehstock umklammerte,",die Aussage,und wendete sich an seinen Anwalt.,105,D
"Sogleich schnürt der Eiskunstläufer, der die Eishalle erreicht hat,",die Schlittschuhe,und begibt sich auf die Eisfläche.,106,A
"Sogleich schnürt der Eiskunstläufer, der das Bonbon gelutscht hat,",die Schlittschuhe,und begibt sich auf die Eisfläche.,106,B
"Sogleich zerbricht der Eiskunstläufer, der die Eishalle erreicht hat,",die Schlittschuhe,und begibt sich auf die Eisfläche.,106,C
"Sogleich zerbricht der Eiskunstläufer, der das Bonbon gelutscht hat,",die Schlittschuhe,und begibt sich auf die Eisfläche.,106,D
"Gut gelaunt schwingt der Cowboy, nachdem er das Pferd gesattelt hatte,",das Lasso,und fängt das Tier ein.,107,A
"Gut gelaunt schwingt der Cowboy, nachdem er den Kameraden gerufen hat,",das Lasso,und fängt das Tier ein.,107,B
"Gut gelaunt zerhackt der Cowboy, nachdem er das Pferd gesattelt hatte,",das Lasso,und fängt das Tier ein.,107,C
"Gut gelaunt zerhackt der Cowboy, nachdem er den Kameraden gerufen hat,",das Lasso,und fängt das Tier ein.,107,D
"Entspannt schrieb der Regisseur, der den Plot konstruiert hatte,",das Drehbuch,für die Serie.,108,A
"Entspannt schrieb der Regisseur, der den Kamin angemacht hatte,",das Drehbuch,für die Serie.,108,B
"Entspannt verzehrte der Regisseur, der den Plot konstruiert hatte,",das Drehbuch,für die Serie.,108,C
"Entspannt verzehrte der Regisseur, der den Kamin angemacht hatte,",das Drehbuch,für die Serie.,108,D
"Sofort entdeckt der Astronom, der das Teleskop aufgestellt hat,",den Stern,am Firmament.,109,A
"Sofort entdeckt der Astronom, der die Uhrzeit notiert hat,",den Stern,am Firmament.,109,B
"Sofort serviert der Astronom, der das Teleskop aufgestellt hat,",den Stern,am Firmament.,109,C
"Sofort serviert der Astronom, der die Uhrzeit notiert hat,",den Stern,am Firmament.,109,D
"Gestern lichtete der Seemann, der das Boot kommandierte,",den Anker,und verließ den Hafen.,110,A
"Gestern lichtete der Seemann, der den Atem anhielt,",den Anker,und verließ den Hafen.,110,B
"Gestern kochte der Seemann, der das Boot kommandierte,",den Anker,und verließ den Hafen.,110,C
"Gestern kochte der Seemann, der den Atem anhielt,",den Anker,und verließ den Hafen.,110,D
"Am Vormittag knotete der Bergsteiger, nachdem er den Haken festgebohrt hatte,",das Seil,um den Aufstieg abzusichern.,111,A
"Am Vormittag knotete der Bergsteiger, nachdem er die Krähe verscheucht hatte,",das Seil,um den Aufstieg abzusichern.,111,B
"Am Vormittag roch der Bergsteiger, nachdem er den Haken festgebohrt hatte,",das Seil,um den Aufstieg abzusichern.,111,C
"Am Vormittag roch der Bergsteiger, nachdem er die Krähe verscheucht hatte,",das Seil,um den Aufstieg abzusichern.,111,D
"Entspannt dreht der Croupier, der den Spieltisch vorbereitet hat,",das Rouletterad,und verrät die nächste Zahl.,112,A
"Entspannt dreht der Croupier, der die Frau beeindruckt hat,",das Rouletterad,und verrät die nächste Zahl.,112,B
"Entspannt schlürft der Croupier, der den Spieltisch vorbereitet hat,",das Rouletterad,und verrät die nächste Zahl.,112,C
"Entspannt schlürft der Croupier, der die Frau beeindruckt hat,",das Rouletterad,und verrät die nächste Zahl.,112,D
"Neulich feilte die Kosmetikerin, während sie die Maniküre durchführte,",die Nägel,und lackierte sie.,113,A
"Neulich feilte die Kosmetikerin, während sie das Gespräch belauschte,",die Nägel,und lackierte sie.,113,B
"Neulich baute die Kosmetikerin, während sie die Maniküre durchführte,",die Nägel,und lackierte sie.,113,C
"Neulich baute die Kosmetikerin, während sie das Gespräch belauschte,",die Nägel,und lackierte sie.,113,D
"Sogleich prophezeite der Wahrsager, der die Kristallkugel befragt hatte,",die Zukunft,der Familie.,114,A
"Sogleich prophezeite der Wahrsager, der die Kerze angezündet hatte,",die Zukunft,der Familie.,114,B
"Sogleich würzte der Wahrsager, der die Kristallkugel befragt hatte,",die Zukunft,der Familie.,114,C
"Sogleich würzte der Wahrsager, der die Kerze angezündet hatte,",die Zukunft,der Familie.,114,D
"Heute beginnt der Archäologe, der die Schaufel hervorgeholt hat,",die Ausgrabung,in der Ruine.,115,A
"Heute beginnt der Archäologe, der das Taxi genommen hat,",die Ausgrabung,in der Ruine.,115,B
"Heute raspelt der Archäologe, der die Schaufel hervorgeholt hat,",die Ausgrabung,in der Ruine.,115,C
"Heute raspelt der Archäologe, der das Taxi genommen hat,",die Ausgrabung,in der Ruine.,115,D
"Zügig bindet der Florist, der die Rosen gezüchtet hat,",den Strauß,für die Hochzeit.,116,A
"Zügig bindet der Florist, der die Fenster geschlossen hat,",den Strauß,für die Hochzeit.,116,B
"Zügig ölt der Florist, der die Rosen gezüchtet hat,",den Strauß,für die Hochzeit.,116,C
"Zügig ölt der Florist, der die Fenster geschlossen hat,",den Strauß,für die Hochzeit.,116,D
"Umgehend spielt der Schauspieler, der das Skript auswendig gelernt hat,",die Rolle,für das Theaterstück.,117,A
"Umgehend spielt der Schauspieler, der die Torte gebacken hat,",die Rolle,für das Theaterstück.,117,B
"Umgehend schnibbelt der Schauspieler, der das Skript auswendig gelernt hat,",die Rolle,für das Theaterstück.,117,C
"Umgehend schnibbelt der Schauspieler, der die Torte gebacken hat,",die Rolle,für das Theaterstück.,117,D
"Am Abend moderiert der Moderator, der die Zuschauer unterhält,",die Sendung,für den Fernsehkanal.,118,A
"Am Abend moderiert der Moderator, der die Weltmeere bereist,",die Sendung,für den Fernsehkanal.,118,B
"Am Abend wiegt der Moderator, der die Zuschauer unterhält,",die Sendung,für den Fernsehkanal.,118,C
"Am Abend wiegt der Moderator, der die Weltmeere bereist,",die Sendung,für den Fernsehkanal.,118,D
"Ohne zu zögern komponierte der Musiker, der die Noten aufschrieb,",das Stück,für seine nächste Sonate.,119,A
"Ohne zu zögern komponierte der Musiker, der die Fragen beantwortete,",das Stück,für seine nächste Sonate.,119,B
"Ohne zu zögern grillte der Musiker, der die Noten aufschrieb,",das Stück,für seine nächste Sonate.,119,C
"Ohne zu zögern grillte der Musiker, der die Fragen beantwortete,",das Stück,für seine nächste Sonate.,119,D
"Fröhlich malte der Künstler, der die Leinwand aufgespannt hatte,",das Bild,in seinem Atelier.,120,A
"Fröhlich malte der Künstler, der den Nachtisch zubereitet hatte,",das Bild,in seinem Atelier.,120,B
"Fröhlich bewohnte der Künstler, der die Leinwand aufgespannt hatte,",das Bild,in seinem Atelier.,120,C
"Fröhlich bewohnte der Künstler, der den Nachtisch zubereitet hatte,",das Bild,in seinem Atelier.,120,D
